team,PJ,PG,PE,PP,GF,GC,DG,PTS,H2H_PTS,H2H_DG,H2H_GF,group,position
Mexico,3,3,0,0,6,0,6,9,0,0,0,A,1
Czechia,3,2,0,1,4,3,1,6,0,0,0,A,2
South Korea,3,1,0,2,3,5,-2,3,0,0,0,A,3
Canada,3,3,0,0,6,1,5,9,0,0,0,B,1
Switzerland,3,2,0,1,5,4,1,6,0,0,0,B,2
Bosnia and Herzegovina,3,1,0,2,3,4,-1,3,0,0,0,B,3
Brazil,3,3,0,0,6,0,6,9,0,0,0,C,1
Morocco,3,2,0,1,4,4,0,6,0,0,0,C,2
Scotland,3,1,0,2,3,5,-2,3,0,0,0,C,3
United States,3,2,1,0,5,3,2,7,0,0,0,D,1
Turkey,3,1,2,0,4,3,1,5,0,0,0,D,2
Australia,3,1,0,2,4,5,-1,3,0,0,0,D,3
Ecuador,3,3,0,0,6,2,4,9,0,0,0,E,1
Germany,3,2,0,1,5,3,2,6,0,0,0,E,2
Japan,3,3,0,0,6,1,5,9,0,0,0,F,1
Netherlands,3,2,0,1,5,2,3,6,0,0,0,F,2
Belgium,3,3,0,0,6,0,6,9,0,0,0,G,1
Iran,3,1,1,1,3,3,0,4,1,0,1,G,2
Egypt,3,1,1,1,3,3,0,4,1,0,1,G,3
Spain,3,3,0,0,6,2,4,9,0,0,0,H,1
Uruguay,3,2,0,1,4,4,0,6,0,0,0,H,2
Cape Verde,3,1,0,2,4,5,-1,3,0,0,0,H,3
France,3,3,0,0,6,0,6,9,0,0,0,I,1
Norway,3,2,0,1,4,4,0,6,0,0,0,I,2
Senegal,3,1,0,2,3,5,-2,3,0,0,0,I,3
Argentina,3,3,0,0,6,1,5,9,0,0,0,J,1
Algeria,3,1,1,1,4,4,0,4,1,0,1,J,2
Austria,3,1,1,1,3,3,0,4,1,0,1,J,3
Colombia,3,3,0,0,6,1,5,9,0,0,0,K,1
Portugal,3,2,0,1,5,3,2,6,0,0,0,K,2
Croatia,3,2,1,0,5,1,4,7,1,0,1,L,1
England,3,2,1,0,5,1,4,7,1,0,1,L,2
